regime,mode,volume_threshold,hft_frac,n_runs,vol_ratio_mean,vol_ratio_std,vol_ratio_ci_low,vol_ratio_ci_high,spread_ratio_mean,spread_ratio_std,spread_ratio_ci_low,spread_ratio_ci_high,max_drawdown_mean,max_drawdown_std,max_drawdown_ci_low,max_drawdown_ci_high,recovery_time_mean,recovery_time_std,recovery_time_ci_low,recovery_time_ci_high,mm_panic_ratio_mean,mm_panic_ratio_std,mm_panic_ratio_ci_low,mm_panic_ratio_ci_high,avg_sub_iters_mean,avg_sub_iters_std,avg_sub_iters_ci_low,avg_sub_iters_ci_high,threshold_hit_rate_mean,threshold_hit_rate_std,threshold_hit_rate_ci_low,threshold_hit_rate_ci_high,executed_volume_total_mean,executed_volume_total_std,executed_volume_total_ci_low,executed_volume_total_ci_high,book_depleted_rate_mean,book_depleted_rate_std,book_depleted_rate_ci_low,book_depleted_rate_ci_high,calendar_volume_per_tick_target_mean,calendar_volume_per_tick_target_std,calendar_volume_per_tick_target_ci_low,calendar_volume_per_tick_target_ci_high,vstar_to_calendar_tick_ratio_mean,vstar_to_calendar_tick_ratio_std,vstar_to_calendar_tick_ratio_ci_low,vstar_to_calendar_tick_ratio_ci_high
calendar,calendar,,0.0,30,1.7459916904523225,0.5709968831733803,1.5465458022230645,1.9475394943707425,1.7389934173093387,0.6602114628085161,1.5196984849384585,1.9873834282510887,0.13657646722918673,0.04828120305849859,0.12105336592764455,0.15410391691770248,39.766666666666666,64.32765444532221,20.93166666666667,66.77166666666666,0.9618888888888889,0.1825735212917902,0.8927722222222222,0.9991111111111111,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6457.466666666666,722.1934850751961,6231.264166666667,6750.995833333333,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.1,30,2.2236635815994226,0.9631373981044272,1.8979175861165776,2.56297413200301,2.3675840292491594,1.075636278968097,2.00226201775647,2.760363752399589,0.18209428154569354,0.05718918932756458,0.16242924076548898,0.20117329332730738,43.766666666666666,57.97780986534081,26.831666666666667,67.2725,0.9452222222222223,0.1955553705154123,0.8634444444444445,0.9948916666666668,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6900.8,689.6300057477098,6671.628333333334,7162.68,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.2,30,2.540604806752053,1.4212601094872461,2.030433192779601,3.0857902154302423,2.83497933191604,1.8499303696316245,2.2092507026313934,3.5279069737074917,0.16985429412276723,0.055122588517657126,0.15040226815031646,0.19036800602683657,33.166666666666664,54.59953475444913,18.565833333333334,55.766666666666666,0.9703333333333333,0.09602182861662877,0.9314166666666667,0.994113888888889,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7299.1,652.2537241669496,7077.242499999999,7537.988333333333,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.3,30,2.4414296289307487,1.4633677093207287,1.952210259672999,2.9896538275447764,2.618953670482024,1.6124971548208222,2.0536276289303013,3.1728949367888046,0.16856194577955502,0.055643192711685406,0.14923390539510883,0.18957269989293393,33.5,35.07504270403181,22.165833333333335,46.143333333333324,0.9468888888888889,0.1861794407647467,0.8741027777777778,0.9927777777777779,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7634.933333333333,608.0840421346794,7441.870833333333,7845.225,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.4,30,3.392499547434251,1.7377785942885386,2.7588425686842935,4.006874039000173,3.8177792340650782,2.471550843488619,2.9651572018527768,4.6870033504796975,0.20895200098101097,0.07003045328647765,0.18452394088637653,0.23523959231361427,24.666666666666668,19.643957276253285,18.333333333333332,31.769166666666663,0.985,0.03214848214480053,0.9721083333333331,0.9951138888888889,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8232.333333333334,572.5258815612367,8026.2925000000005,8450.161666666667,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.5,30,3.141568264330614,1.8994745080192206,2.4821955109680016,3.8411852028811757,3.3257556745206474,2.207720361296616,2.5711198566270594,4.135259591333422,0.21993354753709074,0.10099948767657548,0.18625011430697655,0.2579966068451121,35.733333333333334,60.47395183527129,19.09416666666667,59.7025,0.9804444444444445,0.07962427734544388,0.9489972222222222,0.9994444444444445,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8500.666666666666,710.5280374158525,8239.5575,8740.790833333334,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.6,30,2.9703836340549183,1.9368824686045587,2.3361734177429385,3.6490520932268695,3.073882443120398,2.0574814522350757,2.404791667781657,3.7845722908015227,0.22715517760552825,0.09504592453771589,0.19484090125708461,0.26044250896158844,29.966666666666665,37.731797011898685,18.564166666666665,44.666666666666664,0.9921111111111112,0.025871526580620443,0.9822194444444445,0.9988888888888889,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8845.2,543.6257840679085,8657.7575,9044.851666666666,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.7,30,2.6469326215060116,1.4133687767988221,2.168498622150678,3.1678414878004144,2.757244484172,1.650422797039972,2.1919038722933673,3.3148989745827477,0.2351574951588097,0.09888244900114385,0.19967879178026465,0.2696761537690057,39.9,58.214437123922906,23.3,61.839166666666664,0.9906666666666666,0.028262589165894778,0.9795444444444444,0.9991111111111111,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,9265.9,619.4434849398956,9048.135,9492.4425,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.8,30,2.960383096473102,2.1841100066045986,2.243345496399492,3.8142123289529835,2.939072485448191,2.086953096549698,2.2519947350816447,3.7589367025909364,0.27284491427373075,0.11998295281889673,0.23199228540963568,0.31571677595896674,54.766666666666666,68.04343609344181,32.4575,81.84249999999999,0.996,0.014314475699772825,0.9903305555555556,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,9424.033333333333,500.1911692014628,9265.780833333332,9608.344166666668,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,0.9,30,2.930049007425342,1.7040084741482162,2.291544404930196,3.549112593452639,3.32301883535987,2.341635972417536,2.4572976893197045,4.1682518418220935,0.27625723558275495,0.15179659392014397,0.22177256492655226,0.32848429964816594,31.666666666666668,46.25143675929269,18.4325,49.835,0.9925555555555554,0.017258088965415218,0.9858888888888889,0.9983333333333333,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,9947.266666666666,789.0323158162147,9657.193333333333,10217.859999999999,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
calendar,calendar,,1.0,30,2.9329517783707715,2.0066633048463975,2.305241185328607,3.6803386265244704,3.4727801898532062,3.7779353381819263,2.2968873247273027,4.908066984306519,0.32002270358266716,0.18253907940657152,0.2602355867235601,0.3851038664603647,58.166666666666664,80.18473641549862,32.82416666666667,87.86749999999999,0.926,0.2162221789071163,0.836488888888889,0.992786111111111,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,10417.9,919.6036758787207,10099.779166666667,10775.234166666667,0.0,0.0,0.0,0.0,12.914933333333336,3.613448226613569e-15,12.914933333333336,12.914933333333336,,,,
